"model","deviceCategory","deviceSku","simSku","prepaidSku","cpoSku","cpoPrepaidSku","visionSku","upcCode","url"
"Galaxy S20 Ultra 5G","5G Smartphone","SMG988UZKV","DFILLSIM5G-SA-A","N/A","N/A","N/A","46945","887276396682","https://infomanager.verizon.com/content/equipment-guide/devices/details.equipid=9579.html"
"Galaxy S20 5G UW","5G Smartphone","SMG981VZWV","DFILLSIM5G-SA-A","N/A","N/A","N/A","48001","887276425177","https://infomanager.verizon.com/content/equipment-guide/devices/details.equipid=9641.html"
"Galaxy S20 FE 5G UW","5G Smartphone","SMG781VZBV","DFILLSIM5G-SA-A","N/A","N/A","N/A","49152","887276455464","https://infomanager.verizon.com/content/equipment-guide/devices/details.equipid=9705.html"
"Galaxy S20 Plus 5G Best Buy","5G Smartphone","SMG986UZBV","DFILLSIM5G-SA-A","N/A","N/A","N/A","47361","887276412573","https://infomanager.verizon.com/content/equipment-guide/devices/details.equipid=9583.html"
"Galaxy S20+ 5G","5G Smartphone","SMG986UZKV","DFILLSIM5G-SA-A","N/A","N/A","N/A","46940","887276380797","https://infomanager.verizon.com/content/equipment-guide/devices/details.equipid=9582.html"
"InvisibleShield GlassFusion VisionGuard+ Samsung Galaxy S20 Ultra 5G","","ZAG200305044-V","","","","","","","https://infomanager.verizon.com/content/equipment-guide/accessories/details.accid=21765.html"
"VZW Samsung Galaxy S20 FE Shell Holster Combo - Black","","","","","","","","","https://infomanager.verizon.com/content/equipment-guide/accessories/details.accid=22718.html"
"Tech21 Evo Check for Samsung Galaxy S20 FE Smokey / Black","","","","","","","","","https://infomanager.verizon.com/content/equipment-guide/accessories/details.accid=22734.html"
"SPECK PRESIDIO PRFCT CLR FOR Samsung Galaxy S20 5G UW - CLEAR/CLEAR","","","","","","","","","https://infomanager.verizon.com/content/equipment-guide/accessories/details.accid=22139.html"
"OtterBox®Commuter Series® For Samsung Galaxy S20 5G UW - Black PRO PACK","","77-64484","","","","","","","https://infomanager.verizon.com/content/equipment-guide/accessories/details.accid=22177.html"
"Speck Presidio Perfect Clear Grip for Samsung Galaxy S20+ 5G - Bella Pink/Bella Pink","","136554-7356","","","","","","","https://infomanager.verizon.com/content/equipment-guide/accessories/details.accid=21805.html"
"OtterBox Fast Charge Car Charger Kit - 20W Car Charger + USB-C to USB-C Cable - Black Shimmer","","78-80568","","","","","","","https://infomanager.verizon.com/content/equipment-guide/accessories/details.accid=24393.html"
"Galaxy S20+ 5G","5G Smartphone","SMG986UZKV","DFILLSIM5G-SA-A","N/A","N/A","N/A","46940","887276380797","https://infomanager.verizon.com/content/equipment-guide/devices/details.equipid=9582.html"
"Galaxy S20 5G UW","5G Smartphone","SMG981VZWV","DFILLSIM5G-SA-A","N/A","N/A","N/A","48001","887276425177","https://infomanager.verizon.com/content/equipment-guide/devices/details.equipid=9641.html"
"Galaxy S20 Ultra 5G","5G Smartphone","SMG988UZKV","DFILLSIM5G-SA-A","N/A","N/A","N/A","46945","887276396682","https://infomanager.verizon.com/content/equipment-guide/devices/details.equipid=9579.html"
"Galaxy S20 FE 5G UW","5G Smartphone","SMG781VZBV","DFILLSIM5G-SA-A","N/A","N/A","N/A","49152","887276455464","https://infomanager.verizon.com/content/equipment-guide/devices/details.equipid=9705.html"
